Listing Title,Airbnb URL,Listing ID,Estimated Rental Revenue (Range),Estimated Rental Revenue (Median),Estimated ADR,Estimated Adjusted Occupancy,Active days,Booking Window,Length of Stay,Dynamic Pricing,Min Stay,Professionally Managed,Bathrooms,Max Guests,Listed Price,Listing Type,Is Active,Economic Category,Blocked Days,Rating,Reviews,Beachfront,Hot Tub,EV Charger,Kitchen,Pool,Pets Allowed,Smoking Allowed,Air Conditioning,Cleaning Fee,Guest Favorite,Host ID,Cancellation Policy
"3Bedroom Townhouse By CN Tower","https://www.airbnb.com/rooms/1140642589736583529","1140642589736583529","0-0","N/A","N/A","0","101","N/A","N/A","Moderate","28","Individual","3.0","16","395","Entire rental unit","Yes","N/A","240","4.38","8","No","No","No","Yes","No","No","No","Yes","70","N/A","573691642","Firm"
"3bdr Gem House In Little Italy","https://www.airbnb.com/rooms/1154470865367911136","1154470865367911136","0-0","N/A","N/A","0","206","N/A","N/A","None","28","Individual","1.0","7","248","Entire home","Yes","N/A","160","N/A","N/A","No","No","No","Yes","No","Yes","No","Yes","N/A","N/A","133866276","Flexible"
"Gem On King And Bathurst!","https://www.airbnb.com/rooms/928369978317459139","928369978317459139","0-0","N/A","N/A","0","201","N/A","N/A","None","30","Individual","2.0","4","218","Entire rental unit","Yes","N/A","165","N/A","N/A","No","No","No","Yes","No","No","No","Yes","107","N/A","369149465","Firm"
"Unique Victorian Close To The Downtown Area.","https://www.airbnb.com/rooms/50704936","50704936","0-0","N/A","N/A","0","210","N/A","N/A","None","28","Small","1.0","6","168","Entire rental unit","No","N/A","N/A","4.4","5","No","No","No","Yes","No","Yes","No","Yes","108","N/A","407582407","Flexible"
"Sunny Home On Little Italy's Palmerston Ave","https://www.airbnb.com/rooms/53181044","53181044","0-0","N/A","N/A","0","71","N/A","N/A","None","31","Moderate","2.5","5","317","Entire home","Yes","N/A","295","4.41","N/A","No","No","No","Yes","No","No","No","Yes","179","N/A","253678734","Firm"
"An Oasis Of Calm In Downtown Toronto","https://www.airbnb.com/rooms/1150319273397031978","1150319273397031978","0-0","N/A","N/A","0","44","N/A","N/A","None","28","Individual","1.0","6","394","Entire home","Yes","N/A","322","4.94","33","No","No","No","Yes","No","Yes","No","Yes","105","1","576024775","Firm"
"Toronto’s 3 Bed Financial District Skyhome","https://www.airbnb.com/rooms/903186079997118259","903186079997118259","0-0","N/A","N/A","0","49","N/A","N/A","None","60","Small","3.0","6","282","Entire rental unit","Yes","N/A","314","5","2","No","No","No","Yes","Yes","No","No","Yes","215","N/A","191392713","Flexible"
"3 BED ROOMS CONDO AT THE CN TOWER , TORONTO","https://www.airbnb.com/rooms/650668790353509751","650668790353509751","0-0","N/A","N/A","0","329","N/A","N/A","None","28","Small","2.0","6","991","Entire condo","Yes","N/A","37","4.5","N/A","No","Yes","No","Yes","Yes","No","No","Yes","107","N/A","464584794","Firm"
"Toronto West Family Home","https://www.airbnb.com/rooms/824856086072107348","824856086072107348","0-0","N/A","N/A","0","66","N/A","N/A","Moderate","28","Individual","3.5","5","584","Entire home","Yes","N/A","36","5","2","No","No","No","Yes","No","No","No","Yes","57","N/A","40746058","Firm"
"Entire Condo In Downtown Toronto","https://www.airbnb.com/rooms/1189916639447143371","1189916639447143371","0-0","N/A","N/A","0","233","N/A","N/A","None","28","Individual","2.0","6","444","Entire rental unit","Yes","N/A","133","N/A","N/A","No","No","No","Yes","No","No","No","Yes","215","N/A","444051034","Flexible"
"Spacious 3BR Condo. Walk To Waterfront & Union Sub","https://www.airbnb.com/rooms/1596822279828003461","1596822279828003461","0-0","N/A","N/A","0","50","N/A","N/A","None","28","Moderate","2.0","6","248","Entire rental unit","Yes","N/A","N/A","N/A","N/A","No","No","No","Yes","Yes","Yes","No","Yes","N/A","N/A","587976344","Flexible"
"Very Safe","https://www.airbnb.com/rooms/28343811","28343811","0-0","N/A","N/A","0","223","N/A","N/A","None","28","Individual","1.0","4","137","Entire home","Yes","N/A","143","N/A","N/A","No","No","No","Yes","No","Yes","No","Yes","N/A","N/A","57640471","Flexible"
"Inviting 3 Bedroom In Little Portugal","https://www.airbnb.com/rooms/1532612670657955805","1532612670657955805","0-0","N/A","N/A","0","123","N/A","N/A","None","1","Moderate","2.0","7","137","Entire home","No","N/A","11","N/A","N/A","No","No","No","Yes","No","No","No","Yes","N/A","N/A","13066292","Firm"
"Modern 3-Bdrm Apt In The Heart Of Downtown Toronto","https://www.airbnb.com/rooms/1534400036728676411","1534400036728676411","0-0","N/A","N/A","0","61","N/A","N/A","None","28","Individual","1.0","6","365","Entire rental unit","Yes","N/A","79","N/A","N/A","No","No","No","Yes","No","No","No","Yes","N/A","N/A","182339470","Limited"
"Gorgeous Annex House","https://www.airbnb.com/rooms/1579667625943184034","1579667625943184034","0-0","N/A","N/A","0","22","N/A","N/A","None","31","Moderate","2.0","6","286","Entire home","Yes","N/A","58","N/A","N/A","No","No","No","Yes","No","No","No","Yes","N/A","N/A","253678734","Firm"
"Beautiful 3 Bedroom Cityplace","https://www.airbnb.com/rooms/1483634180706804340","1483634180706804340","0-0","N/A","N/A","0","212","N/A","N/A","None","28","Individual","3.0","6","480","Entire rental unit","Yes","N/A","N/A","N/A","N/A","No","No","No","Yes","No","No","No","Yes","N/A","N/A","447918889","Flexible"
"Funky Home In Little Italy","https://www.airbnb.com/rooms/1212531273822661660","1212531273822661660","0-0","N/A","N/A","0","69","N/A","N/A","None","28","Individual","3.0","6","708","Entire home","Yes","N/A","297","5","5","No","Yes","No","Yes","No","Yes","No","Yes","71","1","33653281","Flexible"
"Great 3 Br Condo For Caribana","https://www.airbnb.com/rooms/1211935130596427883","1211935130596427883","0-0","N/A","N/A","0","203","N/A","N/A","None","28","Small","2.0","8","453","Entire rental unit","Yes","N/A","163","2.5","2","No","No","No","Yes","Yes","No","No","Yes","107","N/A","213776066","Flexible"
"Specious 3BR Apartment With City View Relaxing","https://www.airbnb.com/rooms/1527544747240876012","1527544747240876012","0-0","N/A","N/A","0","44","N/A","N/A","None","28","Small","3.0","8","435","Entire home","No","N/A","97","N/A","N/A","No","No","No","No","No","No","No","Yes","N/A","N/A","667446022","Flexible"
"Amazing 3BR Rooftop Pool","https://www.airbnb.com/rooms/1473182085045487300","1473182085045487300","0-0","N/A","N/A","0","238","N/A","N/A","None","28","Small","2.0","7","896","Entire rental unit","Yes","N/A","2","N/A","N/A","No","No","No","Yes","Yes","No","No","Yes","90","N/A","498260918","Limited"
"Bright & Stylish 3BR · Little Italy","https://www.airbnb.com/rooms/1021153160485485839","1021153160485485839","294-396","354","118.01","1","231","N/A","26","Moderate","28","Moderate","1.0","8","239","Entire home","Yes","Economy","135","5","3","No","No","No","Yes","No","Yes","No","Yes","93","N/A","165124493","Firm"
"3BR House | Heart Of Little Italy | Sleeps 5","https://www.airbnb.com/rooms/1106079398874813572","1106079398874813572","589-792","696","173.93","13","30","157","4","None","28","Small","1.5","5","197","Entire home","No","Midscale","195","5","1","No","No","No","Yes","No","No","No","Yes","N/A","N/A","141216785","Firm"
"Toronto House Downtown @ Queen & Bathurst","https://www.airbnb.com/rooms/1569725827317728337","1569725827317728337","616-824","717","179.23","13","32","11","4","Moderate","2","Small","2.0","8","417","Entire townhouse","No","Midscale","20","N/A","N/A","No","No","No","Yes","No","Yes","No","Yes","N/A","N/A","268768928","Flexible"
"Spacious, Charming 3 Storey Home In Great ‘hood","https://www.airbnb.com/rooms/3348401","3348401","1272-1717","1533","383.33","2","180","136","4","None","28","Individual","1.5","6","447","Entire home","Yes","Midscale","186","5","7","No","No","No","Yes","No","No","No","Yes","N/A","N/A","16898206","Flexible"
"Perfect For A Comfortable City Lifestyle In DT.","https://www.airbnb.com/rooms/1567071932753014805","1567071932753014805","1330-1794","1603","400.63","8","49","17","4","Moderate","2","Individual","2.5","6","414","Entire home","Yes","Midscale","2","5","1","No","No","No","Yes","No","No","No","Yes","N/A","N/A","732011397","Firm"
"Spacious 3BR In The Annex | Free Parking","https://www.airbnb.com/rooms/1602329548944983329","1602329548944983329","2231-2983","2596","112.88","39","59","17","32","Moderate","28","Moderate","2.0","6","221","Entire rental unit","Yes","Economy","N/A","N/A","N/A","No","No","No","Yes","No","Yes","No","Yes","N/A","N/A","9817479","Flexible"
"Cozy Home In Parkdale 3BR, 2Bath, W/ Parking","https://www.airbnb.com/rooms/1606165148929169929","1606165148929169929","2121-3345","2737","210.55","30","44","6","3","High","2","Individual","2.0","8","225","Entire home","Yes","Midscale","6","4","1","No","No","No","Yes","No","No","No","Yes","N/A","N/A","127609164","Flexible"
"Entire Unit-3 Private Room & 3beds With Parking","https://www.airbnb.com/rooms/1190926194576783385","1190926194576783385","2121-3373","2737","161.02","63","27","10","2","Low","1","Small","0.0","4","211","Entire home","No","Midscale","53","5","1","No","No","No","No","No","No","No","No","36","N/A","46408428","Limited"
"Home In Heart Of Toronto","https://www.airbnb.com/rooms/12154745","12154745","2333-3147","2811","255.55","26","43","126","11","High","28","Individual","2.5","5","368","Entire home","Yes","Midscale","323","4.87","46","No","No","No","Yes","No","Yes","No","Yes","179","N/A","65267172","Flexible"
"3 Bed Penthouse-Toronto Downtown","https://www.airbnb.com/rooms/691938251821686964","691938251821686964","2356-3179","2839","177.47","12","129","N/A","55","None","28","Small","2.5","6","199","Entire condo","Yes","Midscale","150","4.75","4","No","No","No","Yes","Yes","No","No","Yes","142","N/A","474312916","Flexible"
"Quiet But Close To The Action!","https://www.airbnb.com/rooms/1241288432850950302","1241288432850950302","2800-3744","3259","105.13","37","84","15","31","Low","28","Small","1.0","6","196","Entire home","Yes","Economy","282","N/A","N/A","No","No","No","Yes","No","Yes","No","Yes","71","N/A","40748609","Flexible"
"Rare Condo Townhouse, 3 BR 2.5 Bath","https://www.airbnb.com/rooms/1085614152175087687","1085614152175087687","2636-3884","3327","237.67","23","60","18","8","None","28","Individual","3.0","6","237","Entire home","Yes","Midscale","249","4","9","No","No","No","Yes","No","No","No","Yes","126","N/A","559703959","Super Strict 60 Days"
"Bright Family Home•Backyard Near Little Italy & DT","https://www.airbnb.com/rooms/1591439885134907848","1591439885134907848","2979-3983","3467","128.39","42","65","N/A","38","High","1","Individual","1.0","8","146","Entire home","Yes","Economy","N/A","N/A","N/A","No","No","No","Yes","No","No","No","Yes","N/A","N/A","736749369","Firm"
"Stay In Brockton Village, Off Of Dundas West","https://www.airbnb.com/rooms/1578337436143811175","1578337436143811175","2955-4168","3636","134.66","55","49","16","6","None","6","Individual","1.0","4","156","Entire home","Yes","Economy","32","5","5","No","No","No","Yes","No","Yes","No","Yes","N/A","N/A","51464665","Moderate"
"FIFA  Stunning Rogers Center MTCC 3B2B Parking","https://www.airbnb.com/rooms/1608785867913188198","1608785867913188198","3085-4526","3791","421.17","19","47","17","2","Moderate","2","Small","2.0","6","380","Entire rental unit","Yes","Midscale","4","5","3","No","No","No","Yes","Yes","No","No","Yes","N/A","N/A","134602378","Moderate"
"Classic Victorian In Little Portugal","https://www.airbnb.com/rooms/1392434","1392434","3817-5150","4600","230","100","20","7","20","None","4","Individual","2.0","5","280","Entire home","Yes","Midscale","75","5","1","No","No","No","Yes","No","Yes","No","Yes","N/A","N/A","7498645","Moderate"
"Chic 3BR Ossington Hub Near Subway & Shops","https://www.airbnb.com/rooms/1608118871618386676","1608118871618386676","3779-5527","4697","335.5","36","39","10","5","Low","1","Individual","2.0","6","313","Entire rental unit","Yes","Midscale","12","5","4","No","No","No","Yes","No","No","No","No","N/A","N/A","731516924","Firm"
"3 Bedrooms Apt- Near U Of  T - Downtown Toronto","https://www.airbnb.com/rooms/24187013","24187013","4135-6047","5139","114.21","24","186","2","18","None","29","Small","1.5","7","133","Entire rental unit","Yes","Economy","180","4.81","273","No","No","No","Yes","No","No","No","Yes","143","N/A","456009284","Firm"
"A Life @ Leonard","https://www.airbnb.com/rooms/796183639036501292","796183639036501292","4246-6600","5571","327.69","7","255","11","11","Low","3","Small","2.0","8","963","Entire rental unit","Yes","Midscale","69","5","5","No","No","No","Yes","No","Yes","No","Yes","214","1","15492129","Super Strict 60 Days"
"3-Bdrm Apartment In Little Italy","https://www.airbnb.com/rooms/13436990","13436990","4710-6890","5898","294.89","44","45","N/A","7","Low","90","Small","2.0","6","343","Entire rental unit","Yes","Midscale","6","5","72","No","No","No","Yes","No","Yes","No","Yes","111","N/A","8702985","Moderate"
"3bedroom/2bath - Subway5Mins -Accom 8 - 28 Night+","https://www.airbnb.com/rooms/1526976215935977630","1526976215935977630","4689-7067","5917","197.24","61","49","13","29","Low","28","Small","2.0","8","247","Entire home","Yes","Midscale","93","N/A","N/A","No","No","No","Yes","No","No","No","Yes","N/A","N/A","101866217","Limited"
"Luxe 3BR Hideaway | Modern Aesthetic W/ Parking!","https://www.airbnb.com/rooms/1367667456687695901","1367667456687695901","5027-6815","6028","317.26","73","26","15","2","Unknown","1","Unknown","3.0","8","300","Entire rental unit","No","Midscale","30","4.93","14","No","No","No","Yes","No","No","No","Yes","N/A","N/A","587747904","Firm"
"Polished 3bdrm, 2 Bath Condo. Stroll To Waterfront","https://www.airbnb.com/rooms/788386071136812754","788386071136812754","4827-7350","6114","174.67","23","155","60","28","Low","28","Individual","2.0","5","179","Entire condo","Yes","Midscale","211","5","1","No","Yes","No","Yes","Yes","No","No","Yes","129","N/A","492380649","Firm"
"5 Beds Condo Rooftop Pool","https://www.airbnb.com/rooms/1450239126687776784","1450239126687776784","4710-7437","6240","445.74","31","45","9","2","High","30","Small","2.0","10","439","Entire rental unit","Yes","Midscale","15","5","2","No","Yes","No","Yes","Yes","Yes","No","Yes","N/A","N/A","426075802","Firm"
"3 Bedroom Newly Done Modern Apartment @TO Downtown","https://www.airbnb.com/rooms/581886351932548461","581886351932548461","4773-7485","6277","84.82","53","139","4","26","None","31","Small","1.0","6","111","Entire rental unit","Yes","Economy","227","4.75","4","No","No","No","Yes","No","Yes","No","Yes","N/A","N/A","202338294","Strict"
"Lovely 3 Bedroom 2 Bathroom Downtown Toronto Condo","https://www.airbnb.com/rooms/669064838769581640","669064838769581640","5232-7059","6305","331.86","35","54","N/A","19","None","28","Small","2.0","6","442","Entire condo","Yes","Midscale","143","4.88","33","No","No","No","Yes","No","No","No","Yes","68","1","468986467","Firm"
"Elite 3BR Downtown Living","https://www.airbnb.com/rooms/1496345247508241344","1496345247508241344","5498-7351","6398","255.93","23","108","N/A","25","High","30","Moderate","2.0","6","293","Entire rental unit","Yes","Midscale","98","N/A","N/A","No","No","No","Yes","No","No","No","Yes","N/A","N/A","5988339","Flexible"
"Beautiful 3 Bedroom House In West Queen West","https://www.airbnb.com/rooms/998834351163558008","998834351163558008","4859-7533","6444","113.05","72","79","5","2","None","31","Individual","2.0","6","148","Entire home","Yes","Economy","287","4.5","N/A","No","No","No","Yes","No","No","No","Yes","143","N/A","18238130","Strict"
"Entire 3 BR 3 Baths Private Kitchen Private Patio","https://www.airbnb.com/rooms/44382164","44382164","5242-7668","6564","105.87","100","62","111","31","Low","28","Small","3.0","6","123","Entire home","No","Economy","66","4.88","181","No","No","No","No","No","No","No","No","294","N/A","210764339","Firm"
"Bright CN Tower View From King West Penthouse","https://www.airbnb.com/rooms/1568902715622084346","1568902715622084346","5325-8027","6721","172.34","42","92","5","25","High","28","Small","2.0","6","221","Entire condo","Yes","Midscale","2","N/A","N/A","No","No","No","Yes","No","No","No","Yes","N/A","N/A","235663293","Firm"
"Comfy 3 Beds/2 Baths+Balcony 10mins Walk2 CNTower","https://www.airbnb.com/rooms/1315475429581974597","1315475429581974597","5829-7793","6783","165.45","17","242","70","41","Low","30","Small","2.0","4","977","Entire condo","Yes","Midscale","124","N/A","N/A","No","No","No","Yes","No","No","No","Yes","169","N/A","223221924","Firm"
"Modern Elegance: Downtown 3BR","https://www.airbnb.com/rooms/1496352131970423886","1496352131970423886","5425-8178","6847","244.55","19","145","N/A","15","Moderate","30","Moderate","2.0","6","293","Entire rental unit","Yes","Midscale","61","N/A","N/A","No","No","No","Yes","No","No","No","Yes","N/A","N/A","5988339","Flexible"
"Upscale Home Downtown","https://www.airbnb.com/rooms/1257345797415587217","1257345797415587217","5139-8410","6899","222.54","38","81","79","9","None","4","Individual","1.5","6","274","Entire home","Yes","Midscale","285","5","2","No","No","No","Yes","No","No","No","Yes","125","N/A","30605069","Firm"
"T. Bellwoods House On The Park","https://www.airbnb.com/rooms/1181993019910163322","1181993019910163322","5323-8368","6985","232.85","20","151","4","3","Low","28","Small","1.5","5","346","Entire home","Yes","Midscale","215","5","N/A","No","No","No","Yes","No","No","No","Yes","N/A","N/A","1708589","Strict"
"Family House-great Location/free Reserved Parking!","https://www.airbnb.com/rooms/1881845","1881845","5915-7980","7128","245.79","69","42","N/A","29","None","1","Small","1.5","6","277","Entire home","No","Midscale","37","4.79","14","No","No","No","Yes","No","Yes","No","Yes","110","N/A","6411777","Strict"
"Hidden Gem - 3 BR Steps To Little Italy And UofT","https://www.airbnb.com/rooms/1231110622041848905","1231110622041848905","5888-8279","7169","238.97","77","39","36","8","None","2","Small","1.5","6","284","Entire rental unit","No","Midscale","33","4.89","27","No","No","No","Yes","No","No","No","Yes","88","N/A","340890956","Firm"
"Live Work Toronto. High Speed Wi-Fi Pet / Family","https://www.airbnb.com/rooms/594806916978157431","594806916978157431","6008-8487","7312","292.48","41","61","36","5","None","1","Individual","1.0","5","383","Entire rental unit","No","Midscale","23","4.95","102","No","No","No","Yes","No","Yes","No","Yes","155","1","83499078","Flexible"
"Family-Friendly 3BR In Little Italy","https://www.airbnb.com/rooms/1549323711617805408","1549323711617805408","5779-8714","7321","281.58","27","95","21","6","Moderate","2","Moderate","1.0","8","322","Entire home","Yes","Midscale","31","4.75","4","No","No","No","Yes","No","Yes","No","Yes","N/A","N/A","165124493","Limited"
"Trinity Bellwoods Gem","https://www.airbnb.com/rooms/965869047653355739","965869047653355739","5710-9080","7368","387.78","22","87","28","3","Low","28","Individual","3.0","5","492","Entire home","Yes","Midscale","279","5","2","No","No","No","Yes","No","No","No","Yes","143","N/A","13777731","Firm"
"Elegant & Curated Vibe Retreat","https://www.airbnb.com/rooms/1456528183171876614","1456528183171876614","5981-9326","7605","380.26","8","251","3","4","None","30","Moderate","2.5","5","505","Entire home","Yes","Midscale","3","N/A","N/A","No","No","No","Yes","Yes","No","No","Yes","250","N/A","1684087","Flexible"
"Unbeatable Location 3BDR For Friends Close To DT!","https://www.airbnb.com/rooms/1568337506178090894","1568337506178090894","5991-9141","7661","247.13","39","80","12","4","High","2","Small","1.5","6","255","Entire rental unit","Yes","Midscale","15","4.75","4","No","No","No","Yes","No","No","No","Yes","N/A","1","730056022","Limited"
"Toronto Rare 3 Bedrooms 2 Baths","https://www.airbnb.com/rooms/34430782","34430782","6253-9138","7754","143.6","43","125","1","20","None","28","Moderate","2.0","4","185","Entire condo","Yes","Economy","32","4.64","22","No","No","No","Yes","No","No","No","Yes","213","N/A","159735119","Strict"
"King Bed | Trinity Bellwoods | Queen St Ossington","https://www.airbnb.com/rooms/1569697736225300430","1569697736225300430","6161-9287","7776","123.43","100","63","5","36","Moderate","28","Moderate","2.0","6","204","Entire guest suite","Yes","Economy","32","N/A","N/A","No","No","No","Yes","No","No","No","Yes","N/A","N/A","21058975","Firm"
"Luxury Condo With Iconic Downtown Toronto Views","https://www.airbnb.com/rooms/1580066124987885469","1580066124987885469","6316-9954","8260","179.56","87","53","2","9","Moderate","30","Individual","2.0","6","229","Entire condo","Yes","Midscale","27","N/A","N/A","No","No","No","Yes","No","No","No","Yes","N/A","N/A","536626849","Firm"
"Spacious 3BR Townhouse • Great Location","https://www.airbnb.com/rooms/1570364708221161158","1570364708221161158","6777-9502","8277","636.66","15","86","14","3","Moderate","1","Individual","3.0","16","530","Entire rental unit","Yes","Upscale","9","5","5","No","No","No","Yes","No","No","No","Yes","N/A","1","577372537","Firm"
"Luxury 3 Bedroom Condo In The Heart Of Toronto!","https://www.airbnb.com/rooms/885703175778315592","885703175778315592","6407-9865","8381","232.79","41","88","130","29","Moderate","28","Individual","2.0","6","457","Entire rental unit","Yes","Midscale","278","4.96","68","No","No","No","Yes","No","No","No","Yes","122","1","513511631","Firm"
"Stroll Boho Kensington From A 1910 Home With BBQ","https://www.airbnb.com/rooms/8391219","8391219","6439-9914","8422","138.06","72","85","57","45","Moderate","29","Small","2.0","6","245","Entire home","Yes","Economy","281","4.8","178","No","No","No","Yes","No","Yes","No","Yes","143","1","32794340","Firm"
"Chill Island - CN Tower Vibes!","https://www.airbnb.com/rooms/1326864909966248584","1326864909966248584","6736-10375","8592","128.23","94","71","24","27","Low","28","Small","2.0","6","160","Entire rental unit","Yes","Economy","295","N/A","N/A","No","No","No","Yes","Yes","Yes","No","Yes","143","N/A","12945816","Flexible"
"Tranquil Urban Suite","https://www.airbnb.com/rooms/1484333391800270637","1484333391800270637","7161-11419","9383","153.81","35","173","16","20","None","28","Moderate","3.0","6","207","Entire townhouse","Yes","Midscale","51","5","1","No","No","No","Yes","No","No","No","Yes","179","N/A","157953450","Firm"
"3 Bedroom Penthouse W/ Skyline View + Free Parking","https://www.airbnb.com/rooms/53047011","53047011","8010-10770","9461","230.76","22","186","N/A","41","None","28","Moderate","3.0","6","324","Entire condo","Yes","Midscale","180","5","1","No","No","No","Yes","No","No","No","Yes","107","N/A","54422135","Flexible"
"Luxe I Central I Modern I 5 BEDS 2 BATHS","https://www.airbnb.com/rooms/1545992784202410463","1545992784202410463","8255-10909","9606","266.84","53","68","14","3","Low","1","Individual","2.0","9","277","Entire rental unit","Yes","Midscale","50","4.93","14","No","No","No","Yes","No","No","No","Yes","N/A","1","722723569","Firm"
"Comfortable Three Bedroom Home , Trinity Bellwoods","https://www.airbnb.com/rooms/1466303961805449660","1466303961805449660","7675-11383","9747","374.9","27","97","33","6","Moderate","1","Small","2.0","5","384","Entire home","Yes","Midscale","152","5","4","No","No","No","Yes","No","No","No","Yes","106","N/A","260079173","Moderate"
"Spacious Landsdowne Family Retreat Modern Comfort","https://www.airbnb.com/rooms/1469155306277924475","1469155306277924475","8290-11022","9912","190.62","80","65","10","3","High","1","Individual","1.0","8","193","Entire rental unit","No","Midscale","17","4.81","27","No","No","No","Yes","No","No","No","No","57","N/A","708079639","Firm"
"Heart Of West Queen West Condo","https://www.airbnb.com/rooms/38574284","38574284","7669-11808","10031","151.98","29","227","11","33","None","28","Individual","2.0","4","302","Entire rental unit","Yes","Midscale","87","4.86","44","No","No","No","Yes","No","Yes","No","Yes","N/A","1","294323424","Flexible"
"Rare 3BR - Heart Of Downtown - King Beds + Patio","https://www.airbnb.com/rooms/1255035347560794605","1255035347560794605","8411-11348","10137","422.37","28","87","339","24","None","28","Individual","1.0","7","548","Entire home","Yes","Midscale","279","4.67","3","No","No","No","Yes","No","No","No","Yes","129","N/A","570792589","Firm"
"Modern Hideaway | 3BR Luxury With Parking Included","https://www.airbnb.com/rooms/1444500688499905523","1444500688499905523","7811-12437","10269","311.19","73","45","20","3","Unknown","1","Unknown","3.0","8","369","Entire rental unit","No","Midscale","39","5","4","No","No","No","Yes","No","No","No","Yes","N/A","N/A","695972159","Firm"
"3 Bedroom Condo Beside CN Tower With Free Parking","https://www.airbnb.com/rooms/1571141570536694119","1571141570536694119","8260-12372","10433","359.77","49","59","18","2","Moderate","2","Small","2.0","9","350","Entire rental unit","Yes","Midscale","35","5","7","No","Yes","No","Yes","No","No","No","Yes","N/A","1","732902307","Moderate"
"NEW! CN Tower View - 1 Min To MTCC/Rogers Centre","https://www.airbnb.com/rooms/1603897738331648359","1603897738331648359","7932-12524","10509","500.41","36","59","12","5","High","1","Individual","2.0","6","455","Entire rental unit","Yes","Upscale","1","5","2","No","No","No","Yes","No","No","No","Yes","N/A","N/A","741517319","Firm"
"Cozy 3-Bedroom Retreat Near Downtown With Parking","https://www.airbnb.com/rooms/1331212526712733101","1331212526712733101","9250-12367","10764","299.01","10","366","38","36","None","28","Small","1.0","8","154","Entire home","Yes","Midscale","N/A","N/A","N/A","No","No","No","Yes","No","Yes","No","Yes","N/A","N/A","580048015","Flexible"
"Cozy, Clean And Well Situated, Parking Included","https://www.airbnb.com/rooms/34242352","34242352","8017-12795","10830","144.4","77","97","27","29","None","28","Individual","1.0","5","200","Entire home","No","Economy","186","5","18","No","No","No","Yes","No","No","No","Yes","108","N/A","1883280","Moderate"
