Listing Title,Airbnb URL,Listing ID,Estimated Rental Revenue (Range),Estimated Rental Revenue (Median),Estimated ADR,Estimated Adjusted Occupancy,Active days,Booking Window,Length of Stay,Dynamic Pricing,Min Stay,Professionally Managed,Bathrooms,Max Guests,Listed Price,Listing Type,Is Active,Economic Category,Blocked Days,Rating,Reviews,Beachfront,Hot Tub,EV Charger,Kitchen,Pool,Pets Allowed,Smoking Allowed,Air Conditioning,Cleaning Fee,Guest Favorite,Host ID,Cancellation Policy
"Super Bright 2bed Bsmt | Central STC | TTC Subway","https://www.airbnb.com/rooms/1574098911518854969","1574098911518854969","0-0","N/A","N/A","0","44","N/A","N/A","Moderate","1","Small","1.0","4","85","Entire home","No","N/A","49","N/A","N/A","No","No","No","Yes","No","No","No","Yes","N/A","N/A","488167647","Firm"
"2 Bedroom Unit In Scarborough","https://www.airbnb.com/rooms/1014008515895200217","1014008515895200217","0-0","N/A","N/A","0","211","N/A","N/A","None","28","Individual","1.0","4","150","Entire home","Yes","N/A","155","5","2","No","No","No","Yes","No","No","No","Yes","143","N/A","544184174","Moderate"
"Promo: Two Bedroom Apartment Scarborough Totonto","https://www.airbnb.com/rooms/1629950747583033682","1629950747583033682","0-0","N/A","N/A","0","35","N/A","N/A","None","28","Moderate","1.0","3","103","Entire home","Yes","N/A","N/A","N/A","N/A","No","Yes","No","Yes","No","No","No","Yes","N/A","N/A","503330908","Flexible"
"Bright & Spacious 2 Bedroom Close To Waterfront","https://www.airbnb.com/rooms/1103777582724939786","1103777582724939786","0-0","N/A","N/A","0","55","N/A","N/A","Moderate","28","Small","1.0","4","94","Entire home","No","N/A","N/A","4","1","No","No","No","Yes","No","No","No","No","95","N/A","393215612","Firm"
"Relax & Recharge Modern 1BR + Den-Balcony-Toronto","https://www.airbnb.com/rooms/1629346480289274238","1629346480289274238","0-0","N/A","N/A","0","15","N/A","N/A","Moderate","4","Small","1.5","3","161","Entire rental unit","Yes","N/A","19","N/A","N/A","No","No","No","Yes","No","No","No","Yes","N/A","N/A","725667736","Flexible"
"Serene Scarborough 2BR Retreat Near Parks & DT","https://www.airbnb.com/rooms/1434014921192133287","1434014921192133287","0-0","N/A","N/A","0","33","N/A","N/A","Moderate","28","Individual","1.0","4","228","Entire guest suite","Yes","N/A","61","N/A","N/A","No","No","No","Yes","No","No","No","Yes","N/A","N/A","698704641","Super Strict 60 Days"
"W2 2Br Apt With Garden Access Don Mills TTC Subway","https://www.airbnb.com/rooms/970650775078202294","970650775078202294","0-0","N/A","N/A","0","223","N/A","N/A","High","28","Moderate","1.0","4","98","Entire home","Yes","N/A","N/A","5","1","No","No","No","Yes","No","Yes","No","Yes","N/A","N/A","467487096","Firm"
"Cozy Home Away From Home W/ Direct Park Access","https://www.airbnb.com/rooms/1527534055402439963","1527534055402439963","0-0","N/A","N/A","0","108","N/A","N/A","None","28","Individual","1.0","6","120","Entire home","Yes","N/A","N/A","N/A","N/A","No","No","No","Yes","No","No","No","Yes","N/A","N/A","546550750","Limited"
"Luxury 2BR Private Suite Fully Equipped Near UTSC","https://www.airbnb.com/rooms/20493014","20493014","0-0","N/A","N/A","0","96","N/A","N/A","None","28","Small","1.0","4","99","Entire home","Yes","N/A","270","4.82","11","No","No","No","Yes","No","No","No","Yes","93","N/A","15204301","Flexible"
"Cozy Quiet Comfortable.","https://www.airbnb.com/rooms/1218314577237341468","1218314577237341468","0-0","N/A","N/A","0","283","N/A","N/A","None","30","Individual","2.0","4","150","Entire condo","Yes","N/A","83","5","1","No","No","No","Yes","No","No","No","Yes","N/A","N/A","594834887","Flexible"
"Clean, Modern And Transit Friendly Bsmt Apt!","https://www.airbnb.com/rooms/24628849","24628849","0-0","N/A","N/A","0","36","N/A","N/A","None","28","Small","1.0","1","65","Entire bungalow","No","N/A","N/A","4.86","22","No","No","No","Yes","No","No","No","Yes","48","N/A","61249186","Firm"
"Cozy 2Bedroom Apartment","https://www.airbnb.com/rooms/53213992","53213992","0-0","N/A","N/A","0","219","N/A","N/A","None","28","Individual","1.0","5","149","Entire serviced apartment","Yes","N/A","147","4.43","14","No","No","No","Yes","No","No","No","Yes","29","N/A","430809753","Moderate"
"Wonderful Place To Live And Enjoy","https://www.airbnb.com/rooms/792574623356051000","792574623356051000","0-0","N/A","N/A","0","191","N/A","N/A","Moderate","1","Small","1.5","10","193","Entire home","Yes","N/A","N/A","4.33","15","No","No","No","Yes","No","No","No","Yes","99","N/A","493307728","Strict"
"2 Bedroom Basement Suite","https://www.airbnb.com/rooms/1503971081339472810","1503971081339472810","0-0","N/A","N/A","0","188","N/A","N/A","None","28","Individual","1.0","4","110","Entire home","Yes","N/A","11","N/A","N/A","No","No","No","Yes","No","No","No","Yes","18","N/A","320062207","Moderate"
"Toronto Apartment","https://www.airbnb.com/rooms/27094044","27094044","0-0","N/A","N/A","0","37","N/A","N/A","None","28","Small","1.0","5","99","Entire rental unit","No","N/A","N/A","4.52","42","No","No","No","Yes","No","No","No","Yes","179","N/A","29395026","Strict"
"Two Bedroom Basement","https://www.airbnb.com/rooms/779555719616402366","779555719616402366","0-0","N/A","N/A","0","366","N/A","N/A","None","28","Individual","1.0","2","250","Entire bungalow","Yes","N/A","N/A","N/A","N/A","No","No","No","Yes","No","No","No","Yes","N/A","N/A","490621388","Flexible"
"Newly Renovated 2-bedroom House","https://www.airbnb.com/rooms/1233419228538345676","1233419228538345676","0-0","N/A","N/A","0","19","N/A","N/A","None","28","Individual","1.0","4","119","Entire home","No","N/A","38","N/A","N/A","No","No","No","Yes","No","No","No","Yes","147","N/A","598746829","Firm"
"Perfect For People & Their Pets","https://www.airbnb.com/rooms/1263983429258299681","1263983429258299681","0-0","N/A","N/A","0","352","N/A","N/A","None","28","Individual","1.0","6","400","Entire bungalow","Yes","N/A","14","N/A","N/A","No","No","No","Yes","Yes","Yes","No","Yes","N/A","N/A","656354411","Moderate"
"Pvt Apartment - Near PanAm  Ctr, UTSC & Centennial","https://www.airbnb.com/rooms/28464973","28464973","0-0","N/A","N/A","0","117","N/A","N/A","None","28","Small","1.0","3","99","Entire home","No","N/A","226","4.85","20","No","No","No","Yes","No","No","No","Yes","25","1","214876814","Moderate"
"Modern & Cozy 2-Bedr Basement Suite | Free Parking","https://www.airbnb.com/rooms/1559106850984043390","1559106850984043390","0-0","N/A","N/A","0","26","N/A","N/A","None","28","Individual","1.0","4","131","Entire home","Yes","N/A","68","N/A","N/A","No","No","No","Yes","No","No","No","Yes","N/A","N/A","517365114","Flexible"
"Bright & Renovated 3BR Home| Furnished + Spacious","https://www.airbnb.com/rooms/1548800602161074462","1548800602161074462","0-0","N/A","N/A","0","91","N/A","N/A","None","28","Small","2.0","6","55","Entire home","Yes","N/A","46","N/A","N/A","No","No","No","Yes","No","Yes","No","Yes","N/A","N/A","95210477","Flexible"
"House Near UTSC, Centennial &
PanAm Centre","https://www.airbnb.com/rooms/41526537","41526537","0-0","N/A","N/A","0","51","N/A","N/A","None","28","Small","1.5","2","103","Entire home","No","N/A","3","5","4","No","No","No","Yes","No","No","No","Yes","37","N/A","214876814","Moderate"
"2-Bedroom Half/Basement Suite","https://www.airbnb.com/rooms/1395026555158884126","1395026555158884126","0-0","N/A","N/A","0","27","N/A","N/A","Unknown","1","Unknown","1.0","5","78","Entire home","No","N/A","63","N/A","N/A","No","No","No","Yes","No","No","No","Yes","116","N/A","688908005","Firm"
"Welcome Home","https://www.airbnb.com/rooms/29192117","29192117","0-0","N/A","N/A","0","239","N/A","N/A","Low","28","Small","1.0","4","138","Entire home","Yes","N/A","127","4.55","29","No","No","No","Yes","No","Yes","No","Yes","36","N/A","190370345","Firm"
"Clean, Bright, Cozy Two Bedroom Basement House","https://www.airbnb.com/rooms/666645627579210163","666645627579210163","0-0","N/A","N/A","0","65","N/A","N/A","None","28","Individual","1.0","4","128","Entire home","Yes","N/A","301","4.88","69","No","No","No","Yes","No","No","No","Yes","18","1","468376381","Flexible"
"Comfortable 2 Bed-room Apartment","https://www.airbnb.com/rooms/40393898","40393898","0-0","N/A","N/A","0","202","N/A","N/A","None","28","Individual","1.0","4","150","Entire rental unit","Yes","N/A","164","4","2","No","No","No","Yes","No","No","No","Yes","32","N/A","98712163","Flexible"
"Snug 2 BdRm Pet Friendly Suite  W/free Parking","https://www.airbnb.com/rooms/659379517807683796","659379517807683796","0-0","N/A","N/A","0","304","N/A","N/A","None","28","Individual","1.0","3","186","Entire guest suite","Yes","N/A","62","4.88","17","No","No","No","Yes","No","Yes","No","Yes","N/A","N/A","466582503","Firm"
"Monthly  2 BdRms Separate Entrance Apt In Toronto","https://www.airbnb.com/rooms/37619432","37619432","0-0","N/A","N/A","0","51","N/A","N/A","None","28","Individual","1.0","4","78","Entire home","No","N/A","N/A","3","2","No","No","No","Yes","No","No","No","Yes","74","N/A","284213186","Moderate"
"A Cozy Basement With Full Comfortable Equipment","https://www.airbnb.com/rooms/13442888","13442888","0-0","N/A","N/A","0","188","N/A","N/A","None","28","Small","1.0","4","250","Entire bungalow","Yes","N/A","178","4.76","93","No","No","No","Yes","No","No","No","Yes","32","N/A","76729112","Firm"
"Bright Two Bedroom Apartment","https://www.airbnb.com/rooms/851990438363380181","851990438363380181","0-0","N/A","N/A","0","301","N/A","N/A","None","28","Individual","1.0","4","175","Entire home","Yes","N/A","65","N/A","N/A","No","No","No","Yes","No","No","No","Yes","43","N/A","417070394","Flexible"
"Two Bedrooms Bungalow House At Scarborough","https://www.airbnb.com/rooms/1545403270636442828","1545403270636442828","0-0","N/A","N/A","0","138","N/A","N/A","None","30","Small","1.0","6","120","Entire home","Yes","N/A","N/A","N/A","N/A","No","No","No","Yes","No","No","No","Yes","N/A","N/A","25150804","Flexible"
"Cozy, Quiet 2BR Main Floor House – Bright And Open","https://www.airbnb.com/rooms/1531486604185626830","1531486604185626830","0-0","N/A","N/A","0","18","N/A","N/A","None","28","Individual","1.0","4","120","Entire home","No","N/A","9","N/A","N/A","No","No","No","Yes","No","No","No","Yes","N/A","N/A","72960228","Flexible"
"Full Privacy Apartment In Toronto","https://www.airbnb.com/rooms/1487410797929983595","1487410797929983595","90-133","112","56.1","1","134","22","1","None","29","Small","1.0","4","71","Entire rental unit","Yes","Economy","65","N/A","N/A","No","No","No","Yes","No","Yes","No","Yes","71","N/A","366756609","Firm"
"☆☆☆☆☆ Luxurious Furnished Basement Suite ☆☆☆☆☆","https://www.airbnb.com/rooms/29829176","29829176","126-167","146","145.92","0","365","7","1","Moderate","30","Small","1.0","2","196","Entire bungalow","Yes","Upscale","1","4.82","N/A","No","No","No","Yes","No","No","No","Yes","96","N/A","11206244","Super Strict 30 Days"
"2 Bedrooms Basement Apartment","https://www.airbnb.com/rooms/1732392","1732392","123-164","147","73.38","3","80","13","31","Low","30","Individual","1.0","4","91","Entire home","No","Midscale","7","4.85","81","No","No","No","Yes","No","No","No","Yes","29","N/A","9127235","Flexible"
"Bright Walkout Basement W/ King Bed And Parking","https://www.airbnb.com/rooms/1613680216074092850","1613680216074092850","301-399","350","69.9","20","25","N/A","27","High","28","Individual","1.0","3","91","Entire rental unit","Yes","Midscale","25","N/A","N/A","No","No","No","Yes","No","No","No","Yes","N/A","N/A","743949280","Limited"
"New 2 Bed, 2 Bath Private Condo On Ground Floor","https://www.airbnb.com/rooms/903169058159486688","903169058159486688","345-460","412","82.33","11","46","N/A","5","Moderate","28","Small","2.0","4","95","Entire condo","No","Midscale","15","3.67","3","No","No","No","Yes","No","No","No","Yes","37","N/A","510983641","Firm"
"Cozy 2BR Walkout Basement Suite Near Transit & DT.","https://www.airbnb.com/rooms/1595897926965778981","1595897926965778981","460-662","574","191.17","4","75","21","1","Low","1","Individual","1.5","4","228","Entire home","Yes","Upscale","4","5","7","No","No","No","Yes","No","No","No","Yes","N/A","1","739354728","Flexible"
"Charming Home- 30 Minutes From Downtown Toronto","https://www.airbnb.com/rooms/1605970813104884043","1605970813104884043","578-766","671","83.88","17","48","19","8","Moderate","30","Individual","1.0","6","96","Entire home","Yes","Midscale","18","N/A","N/A","No","No","No","Yes","No","No","No","Yes","N/A","N/A","301351739","Flexible"
"Guildwood 2BR Basement Retreat","https://www.airbnb.com/rooms/1488588290647068827","1488588290647068827","720-1088","901","100.15","5","195","44","1","None","29","Individual","1.0","4","128","Entire rental unit","Yes","Midscale","1","N/A","N/A","No","No","No","Yes","No","No","No","Yes","108","N/A","209965875","Firm"
"BRAND NEW Spacious Basement Apartment","https://www.airbnb.com/rooms/1491346194883649535","1491346194883649535","756-1089","944","188.71","7","68","12","2","None","1","Individual","2.0","6","217","Entire rental unit","Yes","Upscale","88","5","3","No","No","No","Yes","No","No","No","Yes","43","N/A","459364785","Flexible"
"Private 2BR Suite + Parking | Self Check-in","https://www.airbnb.com/rooms/1498894896101523287","1498894896101523287","741-1127","968","138.24","6","119","N/A","4","Low","2","Individual","1.0","4","193","Entire guest suite","Yes","Upscale","79","5","2","No","No","No","Yes","No","No","No","Yes","89","N/A","655043273","Moderate"
"Detached And Cozy Near The Beach","https://www.airbnb.com/rooms/918003807111879191","918003807111879191","898-1195","1051","525.48","3","74","1","2","None","2","Individual","1.5","5","599","Entire home","Yes","Upscale","145","5","1","No","No","No","Yes","No","No","No","Yes","18","N/A","53708287","Flexible"
"Legal Apartment In Basement","https://www.airbnb.com/rooms/1153840284601439501","1153840284601439501","905-1244","1088","83.71","20","65","2","5","None","365","Individual","1.0","4","101","Entire home","Yes","Midscale","301","4.88","17","No","No","No","Yes","No","No","No","Yes","N/A","1","576902269","Moderate"
"Pickering Manor","https://www.airbnb.com/rooms/1424744851582569195","1424744851582569195","1032-1582","1310","163.75","5","152","4","2","None","3","Individual","1.0","4","199","Entire guest suite","Yes","Upscale","134","N/A","N/A","No","No","No","Yes","No","No","No","Yes","107","N/A","6448412","Moderate"
"Downtown Toronto Home | Quiet Space + WiFi","https://www.airbnb.com/rooms/920397047637087615","920397047637087615","1181-1571","1383","172.82","7","117","N/A","8","None","28","Small","1.0","3","275","Entire rental unit","Yes","Upscale","46","5","1","No","No","No","Yes","No","No","No","Yes","223","N/A","505496899","Firm"
"Cozy & Modern Basement Apartment","https://www.airbnb.com/rooms/1362018881487804131","1362018881487804131","1208-1612","1443","110.97","7","178","9","13","None","2","Individual","1.0","4","124","Entire home","Yes","Midscale","81","5","5","No","No","No","No","No","No","No","Yes","53","1","207242988","Flexible"
"Duplex 2 Bed 1 Bath Private Suite","https://www.airbnb.com/rooms/743089442270753003","743089442270753003","1279-1964","1662","61.56","54","50","1","19","None","28","Small","1.0","3","75","Entire guest suite","No","Economy","20","5","6","No","No","No","Yes","No","No","No","Yes","73","N/A","25150804","Firm"
"Cozy 2 Bdrm Place In Toronto","https://www.airbnb.com/rooms/1575743497358657670","1575743497358657670","1405-1931","1689","93.83","24","75","22","7","Moderate","1","Individual","1.0","4","120","Entire guest suite","Yes","Midscale","28","5","5","No","No","Yes","Yes","No","No","No","Yes","N/A","1","486916701","Flexible"
"Affordable Toronto Stay Near The Subway Line","https://www.airbnb.com/rooms/1576848720227730225","1576848720227730225","1537-2321","1971","30.79","77","83","N/A","32","Low","28","Individual","1.0","4","59","Entire rental unit","Yes","Economy","26","5","1","No","No","No","Yes","No","No","No","Yes","N/A","N/A","216083336","Firm"
"New 1 Bedroom Spacious Unit In A House","https://www.airbnb.com/rooms/1545969229034218192","1545969229034218192","1577-2378","1981","48.32","68","60","12","6","Low","1","Small","1.0","2","71","Entire home","Yes","Economy","77","N/A","N/A","No","No","No","Yes","No","No","No","No","N/A","N/A","220082536","Flexible"
"Morning SUN.","https://www.airbnb.com/rooms/829169247782664566","829169247782664566","1777-2705","2322","96.76","29","83","29","13","Low","28","Individual","1.0","6","130","Entire guest suite","No","Midscale","19","5","25","No","No","No","Yes","No","Yes","No","Yes","130","1","501564143","Firm"
"Modern & Cozy Basement Suite- Rouge Hill","https://www.airbnb.com/rooms/1505100597511928999","1505100597511928999","1773-2722","2342","137.77","12","146","20","9","Low","2","Individual","1.0","4","189","Entire home","Yes","Upscale","50","4.5","2","No","No","No","Yes","No","Yes","No","Yes","36","N/A","717732821","Firm"
"Lovely 2 BD/ 2 Full Washroom Condo & Free Parking","https://www.airbnb.com/rooms/660025921204020317","660025921204020317","1968-2625","2350","180.78","14","94","32","13","None","2","Small","2.0","6","271","Entire condo","Yes","Upscale","11","4.73","15","No","No","Yes","Yes","No","No","No","Yes","95","N/A","28594996","moderate"
"CleanCozyPeaceSuite@Heart Of Scarborough Toronto","https://www.airbnb.com/rooms/953515326585892585","953515326585892585","1944-2785","2384","72.25","97","34","37","23","Low","2","Individual","1.0","4","87","Entire bungalow","No","Midscale","2","4.94","33","No","No","No","Yes","Yes","No","No","Yes","55","1","530655386","Limited"
"Cozy And Beautiful Unit.","https://www.airbnb.com/rooms/1143550275207430000","1143550275207430000","1959-2836","2416","58.93","75","55","57","10","None","3","Small","1.0","4","78","Entire home","Yes","Economy","129","4.71","7","No","No","No","Yes","No","No","No","Yes","21","N/A","76742358","Moderate"
"2 Bedroom And 1 Study, Big Cozy Basement Unit","https://www.airbnb.com/rooms/21281867","21281867","2122-2747","2423","89.75","49","55","1","2","None","28","Individual","1.0","4","99","Entire home","Yes","Midscale","275","4.69","67","No","No","No","Yes","No","No","No","Yes","111","N/A","146490495","Firm"
"Entire 2BR 2BA Suite W Kitchen, Parking & Laundry","https://www.airbnb.com/rooms/1533555234004489051","1533555234004489051","2141-2855","2556","116.18","21","105","9","22","None","5","Small","2.0","4","139","Entire rental unit","No","Midscale","13","5","2","No","No","No","Yes","No","Yes","No","Yes","N/A","N/A","711372561","Moderate"
"Oasis76-2: Entire 2 BR| Subway | Parking|Family","https://www.airbnb.com/rooms/978426037751621318","978426037751621318","1972-3002","2577","42.24","84","73","3","31","None","31","Small","1.0","1","301","Entire home","Yes","Economy","134","4.22","9","No","No","No","Yes","No","No","No","Yes","N/A","N/A","516675894","Firm"
"The Perfect Residence-Comfortable Modern Stay","https://www.airbnb.com/rooms/1614097699776134089","1614097699776134089","2093-3186","2735","182.31","31","48","1","11","Moderate","3","Individual","1.0","4","211","Entire home","Yes","Upscale","1","4.67","3","No","No","No","Yes","No","No","No","Yes","N/A","N/A","289705914","Flexible"
"Toronto Apartment","https://www.airbnb.com/rooms/1560266219883958503","1560266219883958503","2241-3243","2753","78.67","38","92","4","22","Low","3","Small","1.0","4","104","Entire home","Yes","Midscale","30","4","3","No","No","No","Yes","No","No","No","Yes","N/A","N/A","29395026","Firm"
"Guest Suite Newly Renovated 2 Bed Sleeps 4 Near GO","https://www.airbnb.com/rooms/1562550144121824224","1562550144121824224","2176-3339","2873","124.93","44","52","N/A","13","None","1","Individual","1.0","4","163","Entire home","No","Midscale","25","5","2","No","No","No","Yes","No","No","No","Yes","N/A","N/A","751545674","Flexible"
"Super Mario Home Markham - Free Parking","https://www.airbnb.com/rooms/1567743198815856769","1567743198815856769","2217-3446","2899","161.04","18","100","N/A","6","Low","2","Small","1.0","4","199","Entire home","Yes","Upscale","8","5","1","No","No","No","Yes","No","No","No","Yes","N/A","N/A","42241703","Firm"
"Newly Renovated Cozy Walkout Basement","https://www.airbnb.com/rooms/1210358369865834094","1210358369865834094","2408-3459","2949","43.37","44","155","17","30","None","28","Individual","1.0","4","71","Entire home","Yes","Economy","211","4.8","5","No","No","No","Yes","No","No","No","Yes","86","N/A","544962491","Flexible"
"Free UBER! Newly Renovated 2 Bedroom/parking/wifi","https://www.airbnb.com/rooms/1572518288431789048","1572518288431789048","2528-3475","3039","46.75","76","86","13","52","Moderate","1","Individual","1.0","5","66","Entire bungalow","Yes","Economy","22","4.4","5","No","No","No","No","No","No","No","Yes","N/A","N/A","96055761","Moderate"
"PromoOff Entire Two 2Bedroom Apartment,FreeParking","https://www.airbnb.com/rooms/1297218200071667776","1297218200071667776","2562-3521","3080","78.97","11","366","76","12","None","28","Moderate","1.0","4","84","Entire home","Yes","Midscale","N/A","4.56","9","No","No","No","Yes","No","Yes","No","Yes","71","N/A","503330908","Moderate"
"Cozy And Comfortable Home!","https://www.airbnb.com/rooms/1397435450671866928","1397435450671866928","2470-3691","3106","88.74","81","43","5","2","Unknown","28","Unknown","1.0","4","116","Entire home","No","Midscale","7","N/A","N/A","No","No","No","Yes","No","No","No","Yes","N/A","N/A","85769282","Flexible"
"Amazing Ontario Lakeview Home Lower Unit","https://www.airbnb.com/rooms/1274237706944183087","1274237706944183087","2609-3479","3114","107.39","71","41","N/A","29","None","28","Small","2.0","4","121","Entire home","No","Midscale","N/A","5","2","No","No","No","Yes","Yes","Yes","No","Yes","N/A","N/A","219778568","Flexible"
"Cozy 2-bedroom House With Park Access (main Floor)","https://www.airbnb.com/rooms/1024869938264289274","1024869938264289274","2627-3503","3136","95.03","100","33","1","36","High","28","Individual","1.0","4","160","Entire home","No","Midscale","N/A","5","24","No","No","No","Yes","No","No","No","Yes","74","1","546550750","Firm"
"Cheerful 2 Bedroom Basement, With Full Kitchen","https://www.airbnb.com/rooms/54248701","54248701","2526-3636","3150","131.27","41","58","N/A","20","None","1","Individual","2.0","5","150","Entire home","No","Midscale","N/A","4.65","104","No","No","No","No","No","No","No","No","50","N/A","439916597","Firm"
"Toronto Mordern 2B+2B Condo Fit 4, Toronto City Luxury Condo, Fits 4 People!","https://www.airbnb.com/rooms/1572673602364446560","1572673602364446560","2525-3910","3218","100.56","57","56","8","6","Moderate","28","Small","2.0","4","128","Entire condo","Yes","Midscale","52","5","1","No","No","No","Yes","No","No","No","Yes","N/A","N/A","19075275","Firm"
